client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
da400141d8070c4c2118c8f9d12545363fde0b2ee20bcd278f095f21939878a8ab884e4be8210be6741e0508f713bdc91bd016c162516481a3731f73c19200a1	common_voice_sr_26553037.mp3	13c8aa96599afe00e6939d5e4e1a45753e41d5b80688f1c277cd4ea9678a2781	Шта да радимо.		0	4	twenties	male_masculine	Eastern Herzegovinian accent from Montenegro		sr	
da400141d8070c4c2118c8f9d12545363fde0b2ee20bcd278f095f21939878a8ab884e4be8210be6741e0508f713bdc91bd016c162516481a3731f73c19200a1	common_voice_sr_26553071.mp3	0b27e3cadae4e706f12e27234c2ed4aa6c983b6bbc85d5608f2ce0ef5071f3d1	Али не само зато.		2	4	twenties	male_masculine	Eastern Herzegovinian accent from Montenegro		sr	
be8d6455cef8c83ae3fb1e7bab2253c7f69f6408228ae04f2769984a73cea48422283886087b3f405d90c2c2f250f4dadf7504295bda1e8c33d5545d66a365d4	common_voice_sr_26874393.mp3	0a29095ca60fa2853770be9f6c488a6920a2bc8386e5686bf697ed5379ce269e	Ма, знам то.		1	2	twenties	male_masculine			sr	
be8d6455cef8c83ae3fb1e7bab2253c7f69f6408228ae04f2769984a73cea48422283886087b3f405d90c2c2f250f4dadf7504295bda1e8c33d5545d66a365d4	common_voice_sr_26874434.mp3	130ad1bbf4debe0f8428b7feb038715002cab957f92e13b146493a7009c55269	Ти и не знаш шта је то.		0	2	twenties	male_masculine			sr	
8bbadcc5d804c202701422135eb09413813ae1547663c7c6e60d50b60814762b38d54a148aa6853b2093208719871b56372be85913e59f4790920148d28f1594	common_voice_sr_26937942.mp3	230ed7ebfda75543235a88ac8878512902414ee71dba301615cfcff10bdfd381	Боже ме прости.		0	2	twenties	male_masculine			sr	
8bbadcc5d804c202701422135eb09413813ae1547663c7c6e60d50b60814762b38d54a148aa6853b2093208719871b56372be85913e59f4790920148d28f1594	common_voice_sr_26937943.mp3	145188bb649e1e87775c566b47a70180d84190c439279081acd2e672ebc95c4b	Волим техно и хаус!		0	2	twenties	male_masculine			sr	
4c1f095e99d9287a77123354bdf303170a489d41818de91178ff41c6588f609be111433e406f0e729a81c434589d608dea9bbbf3a27e26f48ad6ec7a94bf54d6	common_voice_sr_26969263.mp3	089e4cb001299016f05bb463a759b31fe47e7cc25b237d2ce8d3307392463741	И једна жена.		1	2					sr	
4c1f095e99d9287a77123354bdf303170a489d41818de91178ff41c6588f609be111433e406f0e729a81c434589d608dea9bbbf3a27e26f48ad6ec7a94bf54d6	common_voice_sr_26969267.mp3	2ae7afa37dff9abcfa4bb6539270358b6cbd6dae6985409c811ed88e9c121d57	Није то него.		0	2					sr	
2c95991e6e950a8e1eabd7ac769dacddb25e38fd33b321d594c216dc15961029a817854852209a841223d389c5cc2735c0c05ebbace7af3721b21ea1a9e751a5	common_voice_sr_27008212.mp3	3379d50d5c5cbfcf4b69af99f569b005c6132787b7b26fdd09c497a6ff66b1d2	О, не, разумем.		1	2	twenties	female_feminine			sr	
2c95991e6e950a8e1eabd7ac769dacddb25e38fd33b321d594c216dc15961029a817854852209a841223d389c5cc2735c0c05ebbace7af3721b21ea1a9e751a5	common_voice_sr_27011722.mp3	31d14040eac6aa1fec3d56bae046079e819f975458c3b6d077352f653df37719	Ви не разумете.		0	2	twenties	female_feminine			sr	
7cdaf74753e080af1853d1bcd3759e9b3123d32a5c5a7d1a924f143f011650c6c65948183f652fc7381d5cee29e44101ca72f78b4b478d4c7e6871ffb33b5580	common_voice_sr_27038856.mp3	2e90d38e168414ef0a6f61f54cd793393b96939e334363df2ad056080174e2af	Јако их волим.		0	2					sr	
7cdaf74753e080af1853d1bcd3759e9b3123d32a5c5a7d1a924f143f011650c6c65948183f652fc7381d5cee29e44101ca72f78b4b478d4c7e6871ffb33b5580	common_voice_sr_27038857.mp3	35bc84fae3cb25dd37295d4ab902f262768f164415a8368c8da8087350337560	А и тамо.		1	2					sr	
7cdaf74753e080af1853d1bcd3759e9b3123d32a5c5a7d1a924f143f011650c6c65948183f652fc7381d5cee29e44101ca72f78b4b478d4c7e6871ffb33b5580	common_voice_sr_27038859.mp3	315b2be81d0a6d81e4e9a3aca681e614a0670cfb32fdea6a73bb64dc63a70ed5	Колико је дуго?		0	2					sr	
7cdaf74753e080af1853d1bcd3759e9b3123d32a5c5a7d1a924f143f011650c6c65948183f652fc7381d5cee29e44101ca72f78b4b478d4c7e6871ffb33b5580	common_voice_sr_27038861.mp3	2be1199a6ff1f4d6a64099b20781bf63ae7bc0e0902efe73bda1d15c79b3391d	И због тога.		0	2					sr	
7cdaf74753e080af1853d1bcd3759e9b3123d32a5c5a7d1a924f143f011650c6c65948183f652fc7381d5cee29e44101ca72f78b4b478d4c7e6871ffb33b5580	common_voice_sr_27038862.mp3	2bdb9692189bb99055596718e5a5c3d4589ad1ff75fa3ddeb2d7a6a88db3402e	Путеви су лоши, што омета спасилачке напоре.		0	2					sr	
da400141d8070c4c2118c8f9d12545363fde0b2ee20bcd278f095f21939878a8ab884e4be8210be6741e0508f713bdc91bd016c162516481a3731f73c19200a1	common_voice_sr_27261773.mp3	3a43ab5d0c02eda3e93f44a119f8ce7ebe48319b3f1fe7d71b0ac69f4d9e7208	И ја ћу.		0	4	twenties	male_masculine	Eastern Herzegovinian accent from Montenegro		sr	
da400141d8070c4c2118c8f9d12545363fde0b2ee20bcd278f095f21939878a8ab884e4be8210be6741e0508f713bdc91bd016c162516481a3731f73c19200a1	common_voice_sr_27261790.mp3	3ca8e80a3aa73fb8ce1bd414e5a7ef3a02022c91ea5e5a7a2ea76af1b05ca187	Па, она је.		0	4	twenties	male_masculine	Eastern Herzegovinian accent from Montenegro		sr	
85a4867cf8cc6e4c308529b5016629b89687db6f0da47c01f101936308e2e804357eec1882c663d3148ce585cb8ecb5979520ead8090088b1b34b609f28cfe9c	common_voice_sr_27635143.mp3	70f86bcd9c88ff6a5361f719bfba9ae7702137af90fcda8028b1019503a038d0	Ха, ха ха.		1	2	thirties	male_masculine			sr	
85a4867cf8cc6e4c308529b5016629b89687db6f0da47c01f101936308e2e804357eec1882c663d3148ce585cb8ecb5979520ead8090088b1b34b609f28cfe9c	common_voice_sr_27635179.mp3	742a7b1c7e5be567610464b1df41325db380e27f3cff6ddfac98c2ded6eb2d8c	Нека му буде.		1	2	thirties	male_masculine			sr	
85a4867cf8cc6e4c308529b5016629b89687db6f0da47c01f101936308e2e804357eec1882c663d3148ce585cb8ecb5979520ead8090088b1b34b609f28cfe9c	common_voice_sr_27635297.mp3	5ae0bda17fd7a0c95fca573de91f98506c0c749a84f6f8b76969381b20403c99	Та је то.		0	2	thirties	male_masculine			sr	
23930344397049b5a06d8ab16c2553d67d0d5e4e6e9bba03611ca91f4d32f9f96068b66b8e4eaf46784351f80abd1d5257409fbcbd2c67983a2f2eddd0250e5a	common_voice_sr_27636513.mp3	7a8db0d24e12032c188a8b30c1d43835da6c03a745e787e33a248d2e11bd35be	Да ли ме је неко тражио?		1	2	fourties	male_masculine			sr	
23930344397049b5a06d8ab16c2553d67d0d5e4e6e9bba03611ca91f4d32f9f96068b66b8e4eaf46784351f80abd1d5257409fbcbd2c67983a2f2eddd0250e5a	common_voice_sr_27636700.mp3	77268222fa8dce3e160fc3ca5ede527492f598adeb018412774fa84dfc5a4238	Хвала вам, госпо.		0	2	fourties	male_masculine			sr	
09219b8964b0be9cbd25743743d18172cff62de6264bfbadcf6bab34c77ee5b7b71b9dfa81376501cf1216fe28b66a162d6029f7860e2897e327a05519a039e6	common_voice_sr_27646364.mp3	66881834fed45838943a13168970b9b7fa115e66dd4dd1891a8cef4cba2c0643	Кад ти кажем.		1	2					sr	
615ed0a922a6c69bf3432504212abe5548bb70681552618cac34dd7b03fe516b67bb1498f2fd552b7e484d579b4da33265db73b7799d50b6e421e58dafdb9e9c	common_voice_sr_27655591.mp3	7991209ffd09580067c30c010f75ad9567e0f590e66b66023fe71f5649e5b71d	Да радим ста?		0	2					sr	
fde666fa80bb28ab06959097acb20b0ba303c691461bc093238b3d3e0a06c51db44cd6e4e773f96041065764ad96c7df3741a3b93fdfcf0fcb80014b88714665	common_voice_sr_27662315.mp3	6c5f3eb36234134f450daaf3afa4049d88c85215e7f8026ac9a3006a54dcda10	Ја не знам шта је ово.		0	2					sr	
00793e1393b444d73fa7666b488ba50efc2813e3a92dabb352bca28aba307daddc2621c608309cf5fd08d23bb38210d013c3d364d46570e523bc54629d667aa8	common_voice_sr_27671107.mp3	7da38aa856c77b97e4d249b46b2fc247bb57ba4f4019241503e4fd465922b1da	У сваком друштву имате екстремисте.		0	2	twenties	male_masculine			sr	
84139e631e41795089372e0aa185344de52c4047fb04907eb2fe4a92bbcec8d272758bd5c71a8c9367571ce6ba8a498b43d3038478d2368554e93c8371ec05ad	common_voice_sr_27685974.mp3	7d218c8522093331519a5550c52992a7d10d262f52ddbaa6e0b9fc620e9c79e2	Ох, то није ништа		0	2					sr	
c20cb0c0edb9cd9c40b412766f5b5d9a615df054ef83c7e998ab1c7cda8439b2565e7c784a0c81bf0eb074ee766f909ff38e1389881809fcac8373069a1a0f58	common_voice_sr_27781414.mp3	9c4165a11506cc07853520409b5d82452dafdca4a00d36ca02f373d71bf24c76	Ти и др.		1	2	twenties	female_feminine			sr	
66f67e740dfd78b4f6d0459fcf121999801287d9f90b888a44b820e18c34ba9c2b9a05a5d18486d54cc84a86e9798afc9ea43a227d6cefdeb02ebc260446cc87	common_voice_sr_28216736.mp3	8b02e3e948c46a51153fe1650b5c4e19c96ed48457887452203c8178ce1193df	У продавници нема да се купи тоалет папир.		0	2	thirties	female_feminine			sr	
